metro,year,median_household_income,zori,zhvi,unemployment_rate,monthly_income,rent_to_income,price_to_income,in_crisis,yoy_rent_growth,yoy_income_growth,yoy_hv_growth,rent_income_gap
Austin,2015,64200,1191.84,266220.83,,5350.0,0.2228,0.2695,0,,,,
Austin,2016,67800,1232.36,286392.87,3.3,5650.0,0.2181,0.2746,0,0.034,0.0561,0.0758,-0.0221
Austin,2017,71500,1265.29,300762.51,3.2,5958.33,0.2124,0.2734,0,0.0267,0.0546,0.0502,-0.0279
Austin,2018,76300,1301.43,311125.12,3.0,6358.33,0.2047,0.265,0,0.0286,0.0671,0.0345,-0.0385
Austin,2019,81400,1361.19,320227.08,2.8,6783.33,0.2007,0.2557,0,0.0459,0.0668,0.0293,-0.0209
Austin,2020,84900,1380.71,344991.96,6.3,7075.0,0.1952,0.2641,0,0.0143,0.043,0.0773,-0.0287
Austin,2021,90200,1540.81,449813.21,4.2,7516.67,0.205,0.3241,0,0.116,0.0624,0.3038,0.0536
Austin,2022,97100,1741.05,543004.13,3.0,8091.67,0.2152,0.3635,0,0.13,0.0765,0.2072,0.0535
Austin,2023,102300,1723.74,491484.66,3.5,8525.0,0.2022,0.3123,0,-0.0099,0.0536,-0.0949,-0.0635
Chicago,2015,61500,1407.31,199632.76,,5125.0,0.2746,0.211,0,,,,
Chicago,2016,64200,1448.49,210077.1,5.9,5350.0,0.2707,0.2127,0,0.0293,0.0439,0.0523,-0.0146
Chicago,2017,66800,1485.67,221006.42,4.9,5566.67,0.2669,0.2151,0,0.0257,0.0405,0.052,-0.0148
Chicago,2018,70200,1521.77,231514.46,4.1,5850.0,0.2601,0.2144,0,0.0243,0.0509,0.0475,-0.0266
Chicago,2019,73500,1564.96,237258.8,3.9,6125.0,0.2555,0.2098,0,0.0284,0.047,0.0248,-0.0186
Chicago,2020,75300,1576.9,243942.67,9.8,6275.0,0.2513,0.2106,0,0.0076,0.0245,0.0282,-0.0169
Chicago,2021,77400,1626.87,269610.27,6.2,6450.0,0.2522,0.2264,0,0.0317,0.0279,0.1052,0.0038
Chicago,2022,81900,1782.26,293638.97,4.6,6825.0,0.2611,0.233,0,0.0955,0.0581,0.0891,0.0374
Chicago,2023,85200,1894.37,302119.83,4.4,7100.0,0.2668,0.2305,0,0.0629,0.0403,0.0289,0.0226
Dallas,2015,58600,1083.86,187074.85,,4883.33,0.222,0.2075,0,,,,
Dallas,2016,61800,1137.15,209279.86,3.9,5150.0,0.2208,0.2201,0,0.0492,0.0546,0.1187,-0.0054
Dallas,2017,65100,1193.05,231011.99,3.7,5425.0,0.2199,0.2307,0,0.0492,0.0534,0.1038,-0.0042
Dallas,2018,68900,1238.05,249829.59,3.6,5741.67,0.2156,0.2357,0,0.0377,0.0584,0.0815,-0.0207
Dallas,2019,72800,1283.49,258482.75,3.3,6066.67,0.2116,0.2308,0,0.0367,0.0566,0.0346,-0.0199
Dallas,2020,74600,1310.61,269899.75,7.2,6216.67,0.2108,0.2352,0,0.0211,0.0247,0.0442,-0.0036
Dallas,2021,78300,1439.77,312692.17,5.1,6525.0,0.2207,0.2596,0,0.0985,0.0496,0.1585,0.0489
Dallas,2022,83700,1623.55,379285.13,3.6,6975.0,0.2328,0.2945,0,0.1276,0.069,0.213,0.0586
Dallas,2023,87900,1652.4,381387.57,3.8,7325.0,0.2256,0.282,0,0.0178,0.0502,0.0055,-0.0324
Houston,2015,56800,1214.51,188686.02,,4733.33,0.2566,0.2159,0,,,,
Houston,2016,59000,1224.58,200381.1,5.2,4916.67,0.2491,0.2208,0,0.0083,0.0387,0.062,-0.0304
Houston,2017,61400,1242.71,207784.27,5.0,5116.67,0.2429,0.22,0,0.0148,0.0407,0.0369,-0.0259
Houston,2018,64300,1288.41,216276.8,4.3,5358.33,0.2404,0.2186,0,0.0368,0.0472,0.0409,-0.0104
Houston,2019,67900,1310.33,224823.47,3.8,5658.33,0.2316,0.2152,0,0.017,0.056,0.0395,-0.039
Houston,2020,68500,1328.58,233638.22,8.6,5708.33,0.2327,0.2217,0,0.0139,0.0088,0.0392,0.0051
Houston,2021,71200,1414.69,263821.15,6.2,5933.33,0.2384,0.2408,0,0.0648,0.0394,0.1292,0.0254
Houston,2022,75500,1536.81,309144.5,4.2,6291.67,0.2443,0.2662,0,0.0863,0.0604,0.1718,0.0259
Houston,2023,78900,1580.62,312813.08,4.2,6575.0,0.2404,0.2577,0,0.0285,0.045,0.0119,-0.0165
Los Angeles,2015,60100,1806.2,513779.98,,5008.33,0.3606,0.5557,1,,,,
Los Angeles,2016,63000,1918.06,533391.57,5.0,5250.0,0.3653,0.5503,1,0.0619,0.0483,0.0382,0.0136
Los Angeles,2017,65900,2031.85,580777.01,4.5,5491.67,0.37,0.5728,1,0.0593,0.046,0.0888,0.0133
Los Angeles,2018,69100,2128.88,641492.0,4.2,5758.33,0.3697,0.6034,1,0.0478,0.0486,0.1045,-0.0008
Los Angeles,2019,73100,2214.58,657447.47,4.1,6091.67,0.3635,0.5846,1,0.0403,0.0579,0.0249,-0.0176
Los Angeles,2020,75700,2239.44,691397.63,11.5,6308.33,0.355,0.5937,1,0.0112,0.0356,0.0516,-0.0244
Los Angeles,2021,79200,2371.99,787591.31,8.2,6600.0,0.3594,0.6464,1,0.0592,0.0462,0.1391,0.013
Los Angeles,2022,83600,2649.23,893475.78,4.6,6966.67,0.3803,0.6947,1,0.1169,0.0556,0.1344,0.0613
Los Angeles,2023,87300,2729.57,892256.75,4.7,7275.0,0.3752,0.6643,1,0.0303,0.0443,-0.0014,-0.014
New York,2015,64800,2253.51,416908.4,,5400.0,0.4173,0.4182,1,,,,
New York,2016,67200,2310.31,435789.61,4.8,5600.0,0.4126,0.4215,1,0.0252,0.037,0.0453,-0.0118
New York,2017,69500,2352.01,457627.64,4.4,5791.67,0.4061,0.428,1,0.018,0.0342,0.0501,-0.0162
New York,2018,72900,2397.56,480017.61,4.0,6075.0,0.3947,0.428,1,0.0194,0.0489,0.0489,-0.0295
New York,2019,76500,2470.73,496647.92,3.6,6375.0,0.3876,0.422,1,0.0305,0.0494,0.0346,-0.0189
New York,2020,79200,2413.18,513548.07,10.4,6600.0,0.3656,0.4215,1,-0.0233,0.0353,0.034,-0.0586
New York,2021,81400,2453.74,561824.91,7.7,6783.33,0.3617,0.4486,1,0.0168,0.0278,0.094,-0.011
New York,2022,86300,2859.11,608716.32,4.4,7191.67,0.3976,0.4585,1,0.1652,0.0602,0.0835,0.105
New York,2023,90100,3010.31,622548.84,4.3,7508.33,0.4009,0.4491,1,0.0529,0.044,0.0227,0.0089
Philadelphia,2015,63100,1208.81,211349.61,,5258.33,0.2299,0.2177,0,,,,
Philadelphia,2016,65700,1241.14,219154.92,5.0,5475.0,0.2267,0.2168,0,0.0267,0.0412,0.0369,-0.0145
Philadelphia,2017,68300,1280.01,228343.04,4.7,5691.67,0.2249,0.2173,0,0.0313,0.0396,0.0419,-0.0083
Philadelphia,2018,71600,1322.66,238273.46,4.2,5966.67,0.2217,0.2163,0,0.0333,0.0483,0.0435,-0.015
Philadelphia,2019,75300,1374.69,247503.41,4.0,6275.0,0.2191,0.2136,0,0.0393,0.0517,0.0387,-0.0124
Philadelphia,2020,77900,1417.01,263181.89,8.9,6491.67,0.2183,0.2196,0,0.0308,0.0345,0.0633,-0.0037
Philadelphia,2021,80200,1508.6,297327.06,6.0,6683.33,0.2257,0.241,0,0.0646,0.0295,0.1297,0.0351
Philadelphia,2022,85000,1646.24,326953.94,4.0,7083.33,0.2324,0.25,0,0.0912,0.0599,0.0996,0.0313
Philadelphia,2023,88700,1706.62,343114.41,3.7,7391.67,0.2309,0.2514,0,0.0367,0.0435,0.0494,-0.0068
Phoenix,2015,53900,949.2,215913.05,,4491.67,0.2113,0.2604,0,,,,
Phoenix,2016,56900,1000.64,235417.88,4.7,4741.67,0.211,0.2689,0,0.0542,0.0557,0.0903,-0.0015
Phoenix,2017,59600,1061.72,250583.47,4.3,4966.67,0.2138,0.2733,0,0.061,0.0475,0.0644,0.0135
Phoenix,2018,63400,1136.47,269990.66,4.2,5283.33,0.2151,0.2768,0,0.0704,0.0638,0.0774,0.0066
Phoenix,2019,67200,1227.27,287393.5,4.1,5600.0,0.2192,0.278,0,0.0799,0.0599,0.0645,0.02
Phoenix,2020,70100,1317.87,316347.37,7.3,5841.67,0.2256,0.2933,0,0.0738,0.0432,0.1007,0.0306
Phoenix,2021,73800,1552.48,392921.95,4.6,6150.0,0.2524,0.3461,0,0.178,0.0528,0.2421,0.1252
Phoenix,2022,78500,1738.21,477263.27,3.3,6541.67,0.2657,0.3952,0,0.1196,0.0637,0.2147,0.0559
Phoenix,2023,82400,1742.52,453430.93,3.2,6866.67,0.2538,0.3577,0,0.0025,0.0497,-0.0499,-0.0472
San Antonio,2015,50100,,,,4175.0,,,0,,,,
San Antonio,2016,52400,,,,4366.67,,,0,,0.0459,,
San Antonio,2017,54800,,,,4566.67,,,0,,0.0458,,
San Antonio,2018,57500,,,,4791.67,,,0,,0.0493,,
San Antonio,2019,60700,,,,5058.33,,,0,,0.0557,,
San Antonio,2020,62400,,,,5200.0,,,0,,0.028,,
San Antonio,2021,64900,,,,5408.33,,,0,,0.0401,,
San Antonio,2022,68600,,,,5716.67,,,0,,0.057,,
San Antonio,2023,71500,,,,5958.33,,,0,,0.0423,,
San Diego,2015,65800,1641.31,482595.68,,5483.33,0.2993,0.4767,0,,,,
